Name,URL,Notes,Cuisines,Location,Ratings
Palm House,https://www.palmhousesf.com/,we got the pineapple fried rice and the macademia mac and cheese. the pineapple fried rice was rlly good and the presentation was so cool! i normally don’t like pineapple but i enjoyed this. the mac and cheese was good too.,['Caribbean'],Union Street,8.1
Hint of Desi,https://hintofdesi.com/,i had the chicken egg kathi roll. the meal was so good! i liked how the roll itself was very saucy on the inside and the meat was nice and tender. the chutney with it together was bomb.,,Food Truck,8.0
Sultan's Kebab,https://www.sultanskebab.net/,"my go to place in pleasanton. sadly, doesn’t hit like it used to but i still like it.","['Kebab', 'Mediterranean']",Pleasanton,8.0
The Yasai: PlantBased Japanese Experience,https://www.yasaivegan.com/,"i had no photos of food. but i went here in freshman year and i was surprised to have liked it as much as i did. even though it was vegan, all the food was tasty and delicious. ambience was good too. do reserve before hand because when i went line was so long!",['Japanese'],Kearny Mesa,7.9
Santorini Greek Island Grill,No URL,"mfs know if im not at tahini, im at santorini ordering their chicken shawarma wrap. the people working there know me and put two tzatziki sauces in my order every time. 🫶🏽🫶🏽 i order food from there too much","['Mediterranean', 'Greek']",La Jolla,7.9
Shake Shack Westfield UTC,https://www.shakeshack.com/location/westfieldutcca?utm_source=G&utm_medium=local&utm_campaign=googlelocal,No Notes,"['American', 'Burgers', 'Fast Food']",University City,7.9
John's of Bleecker Street,https://johnsofbleecker.com/,i think we got a large cheese pizza. it was good but i don’t think it was life changing,['Pizza'],South Village,7.8
Poki One N Half,No URL,the poke was good. only thing is they charge a lot for a relatively small amount of poke.,"['Hawaiian', 'Poke']",La Jolla,7.8
Bub City,http://www.bubcity.com/,No Notes,"['Barbecue', 'Bar']",Near North,7.7
Taka,http://www.takaorder.com/,i have memory of a goldfish (not rlly i ate this in 2023 so that’s two years ago ha) but the two rolls pictured were so good and unique!,"['Sushi ,Grill and Chinese Cuisine']",Kailua-Kona,7.7
Charminar Indian Restaurant & Catering,https://www.charminarsd.com/,No Notes,['Indian'],Sorrento Mesa,7.7
CAVA,https://cava.com/locations/lajollaca,No Notes,"['Fast Food', 'Healthy', 'Mediterranean']",La Jolla Village,7.7
Turmeric Thai Garden,https://www.turmericthai.com/,i had drunken noodles and i had a spicy level 8 (it wasn’t spicy). if you are a spice warrior consider going higher on the spice level,['Thai'],La Jolla,7.7
Star Anise Thai Cuisine,http://www.staranisesd.com/,No Notes,['Thai'],University City,7.7
"Snooze, an A.M. Eatery",https://www.snoozeeatery.com/restaurant/california/lajolla/,No Notes,"['American', 'Diner']",La Jolla Village,7.7
ChickfilA,https://www.chickfila.com/locations/ca/lajollavillage?utm_source=yext&utm_medium=link,i always eat here if i’m not at cava or ike’s,"['Chicken', 'Fast Food']",La Jolla,7.5
ULU Ocean Grill,https://www.fourseasons.com/hualalai/dining/restaurants/ulu_ocean_grill/?utm_source=google&utm_medium=organicsearch&utm_campaign=torkonfabmidseona&utm_content=nana&utm_term=na,i love eating fishsalmon and bagel good. i don’t like capers so i didn’t eat with it. cream cheese was interesting (good interesting) cuz it was dill flavored. i also had pog juice (i was a gamer). the pog juice was very pog.,['Hawaiian'],Kailua-Kona,7.4
Ike's Love & Sandwiches,https://locations.ikessandwich.com/ca/lajolla/517/?utm_source=gmb&utm_medium=profile&utm_campaign=lajollalocationpage,No Notes,['Sandwiches'],La Jolla,7.4
Raising Cane's,https://www.raisingcanes.com/locations/c492,i am always down for cane’s,"['Chicken', 'Fast Food']",Mira Mesa,7.4
Ramen 101,http://www.ramen101online.com/,i had ramen from here like 6 years ago. it was good ramen from wat i remember but idk wat i got.,['Ramen'],Pleasanton,7.3
Plant Power Fast Food,https://www.plantpowerfastfood.com/ucsd,i think this place is good for a last minute snack tbh. doesn’t taste bad i do like their stuff but it would not be my first choice. that being said i do enjoy their “chicken” sandwiches and other sides too.,['Vegan'],La Jolla,7.3
The Kebab Shop,https://thekebabshop.com/locations/ca/sandiego/lajollautc/,i ate the thing in my profile pic. twas good after spending time in da pool  i ate that shit. it was bigger than my hand. i was in love and had leftovers yay!,"['Mediterranean', 'Kebab', 'Lebanese']",La Jolla,7.2
Shōwa Ramen,http://www.showaramen.com/,"i usually get their fried rice it’s rlly good. their chicken karage is good and their ramen too. i wish they had more chicken options for ramen. as well, i have had better ramen but if ur on campus and need a hot meal its good","['Ramen', 'Japanese']",La Jolla,7.2
Casa Guadalajara,https://www.casaguadalajara.com/,i thought the tacos were okay (if this is tacos i don’t remember wat i ordered) but i have had better. not terrible tho! i also got a margarita :D,['Mexican'],Old Town,7.2
Regents Pizzeria,https://regentspizza.com/,yo got the rigatoni chicken pesto. enjoyed the free bread and the portions (had leftovers).,['Pizza'],La Jolla,7.1
"Snooze, an A.M. Eatery",https://www.snoozeeatery.com/restaurant/california/hillcrest/?utm_source=gmb&utm_medium=Yext,"the smashed avocado benedict was good. imo, it was a lot for breakfast in sense of amount of flavor so it was kinda heavy. hot chocolate was good. i got both with a deal that made it 12 bucks. i also swear there was more food, i forgot to let the camera eat and as a true big back i ate 😕",['Breakfast'],Hillcrest,7.1
Star of Siam,http://starofsiamchicago.com/,"we got 4 dishes, one of which is drunken noodles. and tom yum soup. and this one tomato, chicken curry that starts with an m. twas good but very heavy.",['Thai'],Near North,7.0
Earl and Rosie's Seafood Place,No URL,fish and chips were decent. i think it was cod. the tartar sauce tho… that was amazing,['Seafood'],Avalon,7.0
Delarosa,https://www.delarosasf.com/location/bishopranch/,"i don’t remember wat i got, i think it was some kind of pasta and i remember that i didnt rlly like the chicken that was in my meal. it was decent but wouldn’t choose it as a first choice.","['Italian', 'Pizza']",San Ramon,7.0
Chili's Grill & Bar,https://www.chilis.com/locations/us/california/pleasanton/pleasanton?utm_source=google&utm_medium=local&utm_campaign=Chilis,got the triple dipper mozzarella sticks. i liked the nashville hot. these guys said it was my birthday so we got free ice cream too.,['American'],Pleasanton,6.9
Pizzeria Uno,https://www.pizzeriaunodue.com/,we got the deep dish pizza. it was good but i think im not a fan of deep dish :(,['Pizza'],River North,6.9
Deccan Morsels Pleasanton,http://www.deccanmorsels.com/,"guys i had onion samosas. 4.99 for 5 which is not bad tbh but i wouldn’t go for samosas again. seeing qubani ka meetha on the menu was like attending functions in hyd and its dessert time 😌😌😌. regardless, samosas were not bad but i should’ve went for their bun maska or other bun stuff or the shawarma AND FHE IRANI CHAI. i will be coming back here to eat these.",,Pleasanton,6.9
Peacock Indian Cuisine,https://peacockdublin.com/,No Notes,['Indian'],Dublin,6.8
Toast Cafe & Grill,http://toastcafeandgrill.com/,it was decent. i had a california omelette and it was fine. the vibes were cool inside but it was just decent,"['Brunch', 'American']",Pleasanton,6.8
Barbarella Restaurant & Bar,https://barbarellarestaurant.com/?y_source=1_MjQzMTg2OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,the pasta al forno was good! i think imo leeks were a bit much. still enjoyed the food tho,['Italian'],La Jolla,6.7
Fomo Momo,https://www.fomomousa.com/,got a lot of momos (i think 3 types but note that i think of it two: tandoori chicken and chicken ones) happy to finally eat momos but i thought they were kinda eh tbh.,['Indian'],The Heights,6.7
Denny's,https://locations.dennys.com/CA/LIVERMORE/9622?utm_source=yext&utm_medium=locallisting&utm_campaign=yextlisting&y_source=1_MjU3NjQ5MTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,got southwestern benny. was okay nothing like extraordinary.,['American'],Livermore,6.2
Menya Ultra UTC La Jolla,https://menyaultra.com/,No Notes,"['Ramen', 'Japanese']",University City,5.6
Fortunate Son Chinese,http://www.fortunatesonchinese.com/,No Notes,['Chinese'],North Park,5.0
The Taco Stand,http://www.letstaco.com/,No Notes,"['Mexican', 'Tacos', 'Taqueria']",Village of La Jolla,5.0
The Melt,http://www.themelt.com/,No Notes,['American'],La Jolla,4.0
Queenstown Bistro,https://www.queenstownbistro.com/,No Notes,['New Zealand'],University City,3.4
